"Jahr";"Baumartengruppe";"Mittlere Kronenverlichtung [%]";"Standardfehler [%]"
2003;"Kiefer";"17,5";"0,6"
2004;"Kiefer";"18,5";"0,7"
2005;"Kiefer";"18,6";"0,7"
2006;"Kiefer";"18,7";"0,6"
2007;"Kiefer";"17,8";"0,6"
2008;"Kiefer";"18,9";"0,6"
2009;"Kiefer";"15,8";"0,9"
2010;"Kiefer";"16,0";"0,7"
2011;"Kiefer";"15,6";"0,7"
2012;"Kiefer";"14,5";"0,6"
2013;"Kiefer";"15,1";"0,6"
2014;"Kiefer";"16,4";"0,6"
2015;"Kiefer";"16,9";"0,7"
2016;"Kiefer";"17,5";"0,7"
2017;"Kiefer";"17,4";"0,7"
2018;"Kiefer";"18,3";"0,6"
2019;"Kiefer";"22,4";"0,7"
2020;"Kiefer";"22,6";"0,9"
2021;"Kiefer";"22,9";"0,7"
2022;"Kiefer";"23,9";"0,7"
2023;"Kiefer";"22,3";"0,8"
